title,time,M,SD
JJ:505_1,1842.25,7.18172735876,0.146716778175
JJ:505_2,1842.5,7.21597130882,0.199717523975
JJ:505_3,1842.75,7.29078573281,0.189567751767
Not12_0,1842.0,7.15914621932,0.249411542311
Not12_1,1842.25,7.0464844205,0.0314974245503
Not12_2,1842.5,7.19204713533,0.165308622861
Not13_0,1842.0,7.05685648201,0.190926375957
Not13_1,1842.25,7.2076707189,0.167324968416
Not13_2,1842.5,7.17162110538,0.202169096429
p277_0,1842.0,7.15780641325,0.188073348531
p277_1,1842.25,7.04924580146,0.173695098692
p277_2,1842.5,7.06089711884,0.165678050475
p277_3,1842.75,6.8780541178,0.176256332203
EE1_0,1843.0,7.57250587621,0.0
EE1_1,1843.25,7.25767809083,0.0
EE1_2,1843.5,6.9892126768,0.0
EE2_0,1843.0,7.34137115886,0.0
EE2_1,1843.25,6.82733305335,0.0
EE2_2,1843.5,6.99484717025,0.0
G_0,1843.0,6.31902266147,0.0
G_1,1843.25,6.15794492004,0.0
G_2,1843.5,6.18168751801,0.0
FB_0,1843.0,7.35855275362,0.181773274931
FB_1,1843.25,7.36805743834,0.0791876172406
FB_2,1843.5,7.37039288642,0.0992367509221
2T43_0,1843.0,7.06964088888,0.0
2T43_1,1843.25,6.73968024522,0.0
2T43_2,1843.5,6.41971659578,0.0
3T43_0,1843.0,6.82531319267,0.0
3T43_1,1843.25,6.67571870898,0.0
3T43_2,1843.5,6.68889728356,0.0
3T43_3,1843.75,6.75650754135,0.0
4T43_0,1843.0,7.00867919976,0.0
4T43_1,1843.25,6.54335380536,0.0
4T43_2,1843.5,6.40911164451,0.0
FEE_0,1843.0,7.18590642324,0.268232367247
FEE_1,1843.25,7.13430680374,0.182060318378
FEE_2,1843.5,7.01343778424,0.234156954014
PH_0,1843.0,7.25959094232,0.193828258458
PH_1,1843.25,7.19180439619,0.212470313951
PH_2,1843.5,7.29447176354,0.130251843727
PH_3,1843.75,7.33970212319,0.151193926289
ELF_0,1843.0,7.3671305368,0.178329018041
ELF_1,1843.25,7.44844692366,0.124028223752
ELF_2,1843.5,7.35103010792,0.15546070548
PMH_0,1843.0,7.22749536141,0.212748007085
PMH_1,1843.25,7.23537000311,0.132964910834
PMH_2,1843.5,7.35834812955,0.113704821854
PMH_3,1843.75,7.17620038876,0.113947209319
Not13:40_0,1843.0,7.21861902011,0.167317387932
Not13:40_1,1843.25,7.35639360488,0.116101493456
Not13:40_2,1843.5,7.2676276973,0.0582521250855
Not13:40_3,1843.75,7.30284824538,0.104885449441
Not14_0,1843.0,7.11698013425,0.140326218309
Not14_1,1843.25,7.23519419599,0.123872021794
Not14_2,1843.5,7.14989543275,0.111123679119
p283_0,1843.0,7.41767747029,0.171798878517
p283_1,1843.25,7.14775979709,0.142062051679
p283_2,1843.5,6.97863079617,0.252823320419
p305_0,1843.0,5.77736024441,0.0
p305_1,1843.25,5.49958246663,0.0
p305_2,1843.5,5.83152877955,0.0
p305_3,1843.75,5.6438930156,0.0
PS_0,1844.0,6.70696471413,0.0
PS_1,1844.25,6.37493109158,0.0
PS_2,1844.5,6.49945664772,0.0
PS_3,1844.75,6.59938077519,0.0
BA_0,1844.0,7.5672013387,0.0
BA_1,1844.25,7.38743399497,0.0
BA_2,1844.5,7.30535533385,0.0
F_0,1844.0,7.1439678417,0.185688678773
F_1,1844.25,7.23371469343,0.166706627263
F_2,1844.5,7.16272234192,0.111838947707
F_3,1844.75,7.18174353583,0.100671340872
2T44_0,1844.0,7.31002008543,0.17208995508
2T44_1,1844.25,7.31727119683,0.115359360178
2T44_2,1844.5,7.2674185041,0.146214392372
2T44_3,1844.75,7.24048392913,0.157289446392
3T44_0,1844.0,6.9538438701,0.0
3T44_1,1844.25,6.97954573103,0.0
3T44_2,1844.5,6.74054010067,0.0
3T44_3,1844.75,6.94384554775,0.0
4T44_0,1844.0,7.57862349109,0.0
4T44_1,1844.25,7.26796277305,0.0
4T44_2,1844.5,7.28332463094,0.0
4T44_3,1844.75,7.29542551153,0.0
p306_0,1844.0,7.65156328544,0.0
p306_1,1844.25,7.4080511434,0.0
p306_2,1844.5,7.48876715241,0.0
p306_3,1844.75,7.3584744082,0.0
p307_0,1844.0,6.44209252817,0.0
p307_1,1844.25,6.05025059134,0.0
p307_2,1844.5,6.43162939794,0.0
p309_0,1844.0,6.82054502171,0.0
p309_1,1844.25,6.57758696506,0.0
p309_2,1844.5,6.29218637982,0.0
p309_3,1844.75,6.67333323782,0.0
p440_0,1844.0,7.64721336164,0.0
p440_1,1844.25,7.33493203615,0.0
p440_2,1844.5,7.3582655898,0.0
p440_3,1844.75,7.50792760206,0.0
TTL_0,1845.0,7.26795319242,0.177228440471
TTL_1,1845.25,7.17317057044,0.202984268819
TTL_2,1845.5,7.13906702794,0.148665379579
TTL_3,1845.75,7.21505478884,0.167438570169
SLV_0,1845.0,7.42396903471,0.180136328638
SLV_1,1845.25,7.48210133713,0.11615656096
SLV_2,1845.5,7.34596809075,0.128770022633
SLV_3,1845.75,7.36551204566,0.117903960558
EEL_0,1845.0,7.38442751507,0.0
EEL_1,1845.25,7.07763985502,0.0
EEL_2,1845.5,7.10679770043,0.0
EEL_3,1845.75,7.06510811404,0.0
DJ_0,1845.0,7.29650574192,0.122703041011
